;;;;;;;;;;
;;Projeto:;Bunge SFS ;;;;;;;
;;Data:;11/11/2025;;;;;;;
;;Revisão:;000;;;;;;;
;;;;;;;;;;
Equipamento;Riscos;Perigo ;Causas Possíveis ;Consequências ;Categoria da Severidade ;Categoria do Risco ;Medidas Preventivas Existentes ;Medidas Preventivas a Implementar ;Observações ;Coluna1
Moega 1720 (rodoviária);"1-Formação súbita de nuvem de poeira com possível ignição por motor ou faísca eletrostática.
2-Uso de ar comprimido na limpeza.
3-Falha no sistema de aspiração de pó.
4-Acúmulo de carga estática.
";"1-Formação de nuvem de poeira combustível na moega de recebimento.
2-Acúmulo de carga estática com possibilidade de geração de faíscas.
3-Faíscas pelo escapamento dos caminhões.";"1-Procedimento não adequado de limpeza.
2-Prática operacional insegura.
3-Falta de sistema de aterramento adequado.
3-Atrito entre grãos e superfícies metálicas.
4-Umidade do ar baixa.
5-Problemas de sincronização incorreta do motor da pá carregadeira/cúmulo de depósitos de carbono no escapamento ou camara de combustão do motor.";Incêndio e explosão;Alta;Médio;"1-Sistema de aspiração na moega.
2-Uso de flaps nas moegas, para evitar o retorno da poeira.
3-Istalaçoes Ex para área classificada.";"1-Proibição de uso de ar comprimido para limpeza ou estabelecer regras seguras de uso.
2-Sistema de aterramento do caminhão com intertravamento com o tombador (o tombador só será acionado quando o caminhão estiver devidamente aterrado.";;
Moega 1720 (Ferroviária);"1-Formação súbita de nuvem de poeira com possível ignição por motor ou faísca eletrostática.
2-Uso de ar comprimido na limpeza.
3-Falha no sistema de aspiração de pó.
4-Acúmulo de carga estática.
";"1-Formação de nuvem de poeira combustível na moega de recebimento.
2-Acúmulo de carga estática com possibilidade de geração de faíscas.";"1-Procedimento não adequado de limpeza.
2-Prática operacional insegura.
3-Falta de sistema de aterramento adequado..
4-Atrito entre grãos e superfície metálicas.
5-Umidade do ar baixa.";Incêndio e explosão;Alta;Médio;"1-Sistema de aspiração na moega.
2-Uso de flaps nas moegas, para evitar o retorno da poeira.
3-Instalações Ex para área classificada.";"1-Proibição de uso de ar comprimido para limpeza ou estabelecer regras seguras de uso.
2-Sistema de aterramento dos vagões com certificação de funcionamento.";;
FM1720 ;1-Deflagração no interior do filtro sem alívio, com possível propagação para a moega e outros equipamentos conectados.;"1-Faíscas por origem estática.
2-Falha nos sistemas de manutenção das gaiolas (soltas).
3-Perfuração das mangas ou sua impregnação.
4-Umidade do local (perto do mar) possibilitando que as mangas perda eficiências e fiquem impregnadas.";"1-Sistema de alívio e isolamento não certificado.
2-Falha no aterramento (continuidade).
2-Rotina de manutenção.
";Incêndio e explosão;Alta;Médio;1-Sistema de verificação da pressão interna.;"1-Sistema de alívio de explosão certificado.
2-Sistema de isolamento mecânico de explosão certificado.";;
CT 1720 A1 e B1;"1-Formação de nuvem de poeiras por vazamentos nos equipamentos.
2-Formação de nuvem por processo de limpeza por ar comprimido.
";"1-Iluminação com invólucro Ex de vapor de sódio.
2-Limpeza por ar comprimido, tornando o túnel classificado para Zona 22.
3-Superaquecimento dos roletes.
4-Aparecimento de faíscas por origem estática.";"1-Falta de atualização do sistema de iluminação.
2-Procedimento de limpeza inadequado.
3-Escapes de pó por frestas.";Incêndio e explosão;Alta;Médio;"1-Sensor de velocidade.
2-Sensor de desalinhamento.
3-Sensor de embuchamento.";"1-Proibir limpeza por ar comprimido (mudar procedimentos).
2-Revisar sistema EX do túnel.
4-Instalar sistema de detecção por cabo linear. 
5-Verificação sistemática do aterramento (conexão).
";;
CT 1720 A2 e B2;"1-Formação de nuvem de poeiras por vazamentos nos equipamentos.
2-Formação de nuvem por processo de limpeza por ar comprimido.
";"1-Iluminação com invólucro EX de vapor de sódio.
2-Limpeza por ar comprimido, tornando o túnel classificado para Zona 22.
3-Presença de ferramentas metálicas no túnel (pás).
4-Filtro com alívio de explosão caseira.";"1-Falta de atualização do sistema de iluminação.
2-Procedimento de limpeza inadequado.
3-Escapes de pó por frestas.
4-Falta de treinamentos para riscos de faíscas mecânicas por utilização de ferramentas metálicas.";Incêndio e explosão;Alta;Médio;"1-Sensor de velocidade.
2-Sensor de desalinhamento.
3-Sensor de embuchamento.";"1-Proibir limpeza por ar comprimido (mudar procedimentos).
2-Revisar sistema EX do túnel.
3-Substituir ferramentas metálicas por plásticas.
4-Instalar sistema de detecção por cabo linear. 
5-Verificação sistemática do aterramento (conexão).";;
CT 1720 A3 e B3;"1-Formação de nuvem de poeiras por vazamentos nos equipamentos.
2-Formação de nuvem por processo de limpeza por ar comprimido.
";"1-Iluminação com invólucro EX de vapor de sódio.
2-Limpeza por ar comprimido, tornando o túnel classificado para Zona 22.
4-Presença de ferramentas metálicas.
5-Cirene não EX conforme classificação de área.
6-Superaquecimento dos roletes.";"1-Falta de atualização do sistema de iluminação.
2-Procedimento de limpeza inadequado.
3-Escapes de pó por frestas.
4-Falta de treinamentos para riscos de faíscas mecânicas por utilização de ferramentas metálicas.";Incêndio e explosão;Alta;Médio;"1-Sensor de velocidade.
2-Sensor de desalinhamento.
3-Sensor de embuchamento.
4-Sistema de magnéticos para impedir a entrada de partes metálicas.";"1-Proibir limpeza por ar comprimido (mudar procedimentos).
2-Revisar sistema EX do túnel.
3-Substituir ferramentas metálicas por plásticas.
4-Instalar sistema de detecção por cabo linear. 
5-Substituir ferramentas metálicas por plástico.
6-Verificação sistemática do sistema de aterramento.";;
